id,name,description,min_level,max_level
1,起始平原,新手踏入的初生之地，地势平坦开阔，草木稀疏，阳光充足。,3,8
2,幽静森林,起始平原的延伸秘境，林木葱郁，光影斑驳，风过树叶沙沙作响，氛围静谧。,6,11
3,阴暗矿山,深入地底的岩石秘境，光线昏暗，岩壁遍布矿脉，空气里弥漫着矿石粉尘与潮湿气息。,9,14
4,丰饶平原,远离起始区的沃土，绿草如茵，溪流交错，植被繁茂且多结浆果。,12,17
5,迷雾湿地,常年被薄雾笼罩的泥泞地带，积水遍布，芦苇丛生，能见度较低。,15,20
6,荒野岩地,地表崎岖的荒僻区域，遍布碎石与裸露岩壁，风大且植被稀少。,18,23
7,电气洞窟,充满高压能量的地下洞窟，岩壁泛着电光，偶有电流噼啪作响。,21,26
8,神秘森林,比幽静森林更幽深的古老林地，树木参天，林间弥漫着淡淡的奇异香气，昼夜温差大。,24,29
9,热砂沙漠,烈日暴晒下的荒芜之地，黄沙漫天，沙丘连绵，昼夜温差悬殊，偶见耐旱植被与风化岩石。,27,32
10,沿海沙滩,阳光明媚但危机四伏的海岸线，飞行系和水系宝可梦不仅数量多，而且速度快。,30,35
11,深海区域,压抑的深海环境，这里充满了完全进化的水系宝可梦，以及带有恶属性或冰属性的凶猛掠食者。,33,38
12,幽灵古塔,古老的高塔遗迹，幽灵系和超能系的最终进化型占据主导，这里是游戏中挑战难度陡增的区域。,36,41
13,雪山外围,寒冷的高原与雪山脚下，植被稀疏，主要栖息着耐寒的草系、普通系以及初级冰系宝可梦。,39,44
14,冰封洞窟,极度寒冷的深层洞窟，栖息着体型巨大的冰系和水系宝可梦，环境极其恶劣。,42,47
15,剧毒沼泽,充满瘴气的危险地带，大多数宝可梦带有剧毒，且最终进化型非常普遍。,45,50