"id",name,description,min_level,max_level
"1","真新镇","宁静的小镇，是许多训练家的起点。",1,10
"2","常磐森林","茂密的森林，充满了各种虫系和草系宝可梦。",3,15
"3","紫苑镇","被称为宝可梦之塔的幽灵城镇，有许多幽灵系宝可梦。",15,30
"4","华蓝洞窟","神秘的洞窟，水流潺潺，水系宝可梦栖息之地。",10,25
"5","卡吉镇","火山区域，地面系和火系宝可梦常见。",20,35
"6","石英高原","联盟总部所在地，各种强大的野生宝可梦栖息。",30,100
"7","枯叶市","海洋边的城市，经常有水系宝可梦出现。",5,20
"8","深灰市","靠近山区的城市，岩石系和地面系宝可梦常见。",10,25
"9","玉虹市","繁华的大都市，各种宝可梦都有可能出现。",1,50
"10","金黄市","历史悠久的城市，周边有丰富的野生环境。",15,40
"11","浅红市","以道馆闻名的城市，周边环境多样。",10,30
"12","红莲岛","炎热的岛屿，火系和岩石系宝可梦栖息。",25,45
"13","常青森林","古老的森林，各种草系和虫系宝可梦栖息。",5,20
"14","银杏森林","秋季时金黄一片的森林，各种宝可梦栖息。",8,22
"15","寂静山","神秘的山峰，稀有宝可梦常出没。",35,70
"16","月见山","月光照射下的神秘山洞，岩石系和地面系宝可梦栖息。",12,28
"17","水脉市","水系宝可梦的天堂，河流湖泊众多。",5,20
"18","雪峰山","严寒的雪山，冰系和飞行系宝可梦栖息。",40,60
"19","沙漠绿洲","沙漠中的奇迹绿洲，地面系和水系宝可梦栖息。",20,40
"20","电石洞","充满电力的洞窟，电系宝可梦栖息。",15,35